Player Name,CS at 10,Max Level Lead,Outcome
Zeus,56,3,Win
Zeus,65,1,Win
Zeus,70,1,Lose
Zeus,67,3,Win
Zeus,83,2,Lose
Zeus,87,3,Win
Zeus,94,2,Win
Zeus,83,5,Win
Zeus,63,1,Win
Zeus,67,1,Lose
Zeus,12,2,Win
Zeus,74,1,Lose
Zeus,77,1,Lose
Zeus,74,3,Win
Zeus,83,1,Lose
Zeus,81,1,Lose
Zeus,66,1,Lose
Zeus,67,2,Win
Zeus,74,2,Win
Zeus,89,1,Lose
Zeus,66,2,Win
Zeus,75,2,Lose
Zeus,76,1,Win
Zeus,64,1,Win
Zeus,76,2,Win
Zeus,88,3,Win
Zeus,91,1,Win
Zeus,25,2,Win
Zeus,82,1,Win
Zeus,73,2,Win
Oner,5,1,Win
Oner,7,1,Lose
Oner,9,2,Win
Oner,3,2,Win
Oner,8,3,Win
Oner,9,1,Lose
Oner,1,1,Lose
Oner,74,1,Win
Oner,58,1,Win
Oner,67,2,Win
Oner,6,1,Lose
Oner,75,3,Win
Oner,77,2,Lose
Oner,8,2,Win
Oner,10,1,Lose
Oner,5,1,Lose
Oner,2,2,Win
Oner,1,0,Win
Oner,6,2,Lose
Oner,5,1,Lose
Oner,2,4,Win
Oner,60,1,Lose
Oner,2,1,Lose
Oner,84,1,Win
Oner,73,1,Lose
Oner,72,1,Win
Oner,64,2,Lose
Oner,1,1,Lose
Oner,5,2,Win
Faker,83,1,Win
Faker,89,1,Win
Faker,68,2,Lose
Faker,99,1,Lose
Faker,75,3,Win
Faker,89,1,Lose
Faker,63,2,Win
Faker,79,2,Win
Faker,76,5,Win
Faker,78,1,Lose
Faker,88,1,Lose
Faker,92,1,Lose
Faker,81,2,Win
Faker,85,1,Lose
Faker,86,1,Lose
Faker,75,2,Lose
Faker,84,1,Win
Faker,84,2,Lose
Faker,67,0,Lose
Faker,85,2,Win
Faker,91,1,Lose
Faker,65,1,Win
Faker,2,1,Win
Faker,94,1,Win
Faker,89,2,Lose
Faker,90,1,Lose
Faker,43,4,Win
Faker,76,1,Lose
Faker,76,1,Win
Faker,96,1,Lose
Gumayusi,67,4,Win
Gumayusi,56,1,Lose
Gumayusi,72,2,Lose
Gumayusi,69,1,Lose
Gumayusi,56,2,Win
Gumayusi,45,0,Lose
Gumayusi,84,3,Win
Gumayusi,87,3,Win
Gumayusi,88,1,Lose
Gumayusi,92,2,Win
Gumayusi,74,1,Win
Gumayusi,86,1,Win
Gumayusi,86,1,Lose
Gumayusi,75,4,Win
Gumayusi,93,1,Lose
Gumayusi,79,3,Win
Gumayusi,74,2,Lose
Gumayusi,90,2,Win
Gumayusi,98,2,Win
Gumayusi,91,2,Win
Gumayusi,62,1,Win
Gumayusi,60,1,Lose
Gumayusi,68,2,Win
Gumayusi,89,2,Win
Gumayusi,91,3,Win
Gumayusi,80,1,Lose
Gumayusi,63,2,Win
Gumayusi,78,1,Lose
Keria,83,2,Win
Keria,2,3,Lose
Keria,82,2,Win
Keria,82,1,Lose
Keria,82,1,Win
Keria,43,1,Win
Keria,69,3,Win
Keria,68,2,Win
Keria,78,3,Win
Keria,6,1,Lose
Keria,62,0,Lose
Keria,42,2,Win
Keria,3,2,Win
Keria,14,1,Lose
Keria,89,2,Win
Keria,18,1,Lose
Keria,17,3,Lose
Keria,7,2,Lose
Keria,62,2,Win
Keria,15,2,Win
Keria,10,2,Win
Keria,13,1,Win
Keria,72,3,Win
Keria,17,1,Lose
Keria,6,2,Win
Keria,4,1,Win
